Description,Country,Observations,Label,Colour,Mean
Share of Internet users who have purchased online in the last 12 months,Australia,73.7,Negative,#F6BC65,69.9
Share of Internet users who have purchased online in the last 12 months,Austria,74.5,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Belgium,78.9,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Brazil,42.5,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Canada,85.9,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Chile,42.3,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Czech Republic,80.5,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Denmark,90.4,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Estonia,76.1,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,European Union (28 countries),71.5,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Finland,78.0,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,France,77.4,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Germany,86.9,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Greece,58.9,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Hungary,69.7,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Iceland,83.2,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Ireland,80.9,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Israel,56.6,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Italy,48.9,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Japan,60.4,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Latvia,62.8,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Lithuania,64.3,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Luxembourg,79.7,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Mexico,26.5,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Netherlands,91.2,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,New Zealand,68.2,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Norway,86.7,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Poland,71.8,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Portugal,56.0,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Slovak Republic,68.5,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Slovenia,71.8,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Spain,67.0,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,Sweden,86.3,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Switzerland,82.9,Negative,#F6BC65,
Share of Internet users who have purchased online in the last 12 months,Turkey,41.7,Positive,#fc8b9b,
Share of Internet users who have purchased online in the last 12 months,United States,73.8,Negative,#F6BC65,
Percentage of individuals aged 55-74 using the Internet,Aruba,54,Aruba,#81d7d3,
