Media,No,Yes,Share
Facebook,30,104,77.6
Business website,57,77,57.5
Instagram,60,74,55.2
Linkedin,83,51,38.1
Twitter,117,17,12.7
TikTok,131,3,2.2
Pinterest,133,1,0.7
