Description,Country,Observations,Label,Colour,Mean
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Austria,21,Positive,#fc8b9b,26.4
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Belgium,24,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Denmark,26,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Estonia,27,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Finland,32,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,France,28,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Germany,18,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Greece,31,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Hungary,25,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Iceland,38,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Ireland,24,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Italy,20,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Latvia,25,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Lithuania,18,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Luxembourg,28,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Netherlands,33,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Norway,37,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Poland,23,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Portugal,21,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Slovak Republic,25,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Slovenia,26,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Spain,26,Positive,#fc8b9b,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,United Kingdom,32,Negative,#F6BC65,
Percentage of individuals who use digital equipment at work that telework from home once a week or more,Aruba,26.0,Aruba,#81d7d3,
