Policy dimension,Aruba,OECD average
Access,0.69,0.67
Use,0.52,0.58
Innovation,0.33,0.57
Jobs,1.00,0.57
Society,0.62,0.60
Trust,0.33,0.68
Market openness,0.14,0.53
