Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Bushistraat,BUH,27130,2,27,-70.03326069,12.53193416
Butucu,BUT,77010,7,77,-69.91381856,12.46755604
Byerlite,BYE,63070,6,63,-69.93471409,12.44723249
Byronstraat,BY,32280,3,32,-70.0286518,12.51485989
Cabaron,CRN,11092,1,11,-70.03650559,12.57447963
Cabuyastraat,CA,27060,2,27,-70.03253785,12.53639392
Cadushi Largo,KD,53050,5,53,-69.9701327,12.51953483
Cadushistraat,KAD,35230,3,35,-70.02235112,12.51487758
Calbas,CAL,13030,1,13,-70.00629861,12.55883139
Calbasstraat,CSS,35210,3,35,-70.02293071,12.5158175
California,CAF,16010,1,16,-70.05174124,12.61764091
Camacuri,CAM,32010,3,32,-70.02164557,12.506081
Camaristraat,CAR,36120,3,36,-70.01622603,12.51763164
Campanastraat,CAS,36260,3,36,-70.01428016,12.51503089
Canashito,CSH,51030,5,51,-69.99014168,12.51105578
Canoastraat,CAN,24080,2,24,-70.04065204,12.52528254
Cantaloupestraat,CTS,36070,3,36,-70.01736879,12.51825701
Caobastraat,CAO,28220,2,28,-70.03103955,12.53377199
Caquetiostraat,CQT,72200,7,72,-69.91630924,12.44545592
Caribenstraat,CRB,72240,7,72,-69.91458161,12.44470984
Cas Ariba,KAB,54010,5,54,-69.97292443,12.5121247
Cas Paloma,KP,38110,3,38,-70.00556171,12.49161877
Cashero,CSO,53020,5,53,-69.97724044,12.52500757
Cashustraat,KAS,35240,3,35,-70.02196944,12.51469624
Casibari,CBI,42030,4,42,-69.99500908,12.53165381
Castrostraat,CST,72140,7,72,-69.9170361,12.44923175
Catalina,CTL,11046,1,11,-70.04831522,12.6052135
Catashi,CAI,53110,5,53,-69.9575224,12.51555768
Catiri,CAT,15020,1,15,-70.01557233,12.54378732
Catunastraat,KAT,28330,2,28,-70.0310829,12.53117148
Caya Ange Perez,PER,13026,1,13,-70.02041812,12.55919227
Caya Anguilla,CAG,84130,8,84,-69.90703468,12.43420258
Caya Appeldam,CAP,36155,3,36,-70.01772848,12.5141532
Caya Ararut,CYA,43098,4,43,-70.00169355,12.54812421
Caya Balorian,CBA,43093,4,43,-70.00093896,12.5470469
Caya Baranca (Tierra del Sol),LRO,11054,1,11,-70.04012558,12.60285818
Caya Bembe,CBE,43092,4,43,-70.0014871,12.5465484
Caya Bini Bini,CBB,43097,4,43,-70.0011773,12.54496369
Caya Binti Binti,CBT,56035,5,56,-69.97724153,12.48772243
Caya Bistalamar (Tierra del Sol),CBL,11059,1,11,-70.04367973,12.60245965
Caya Bohi,CBO,71082,7,71,-69.92796727,12.45032869
Caya Bonaire,BON,84100,8,84,-69.90753362,12.435428
Caya Boxmeer,CBX,72292,7,72,-69.91970776,12.44379113
Caya Breda,CBR,72293,7,72,-69.91937947,12.44276356
Caya Bunita Bista (Tierra del Sol),BEV,11052,1,11,-70.04699219,12.60297294
Caya Butishi,CBU,71012,7,71,-69.92893317,12.44997539
Caya Calco,CAC,11091,1,11,-70.03664024,12.57364287
Caya Cana Canto di Lama,CCL,11047,1,11,-70.04988091,12.60710755
Caya Caneblum,CKA,43094,4,43,-70.0010557,12.54676874
Caya Cangreu,CCU,11093,1,11,-70.03632223,12.5752635
Caya Capt. R. Rodger,ROD,83150,8,83,-69.90670819,12.43250664
Caya Casuela,CCA,71013,7,71,-69.92828282,12.44917655
Caya Charlie Brouns Sr.,BRO,83210,8,83,-69.90654125,12.43298471
Caya Cocolishi,CCO,11094,1,11,-70.03758935,12.57567149
Caya Corsou,COR,84080,8,84,-69.90829177,12.43537907
Caya di Biento (Tierra del Sol),BIE,11053,1,11,-70.04118148,12.60281377
Caya di Biento (Tierra del Sol),BIE,11053,1,11,-70.0438286,12.60325109
Caya di Campeonan (Tierra del Sol),LCA,11055,1,11,-70.04141078,12.60225786
Caya di Oro (Tierra del Sol),ORO,11057,1,11,-70.03671024,12.60176756
Caya di Pos,CPO,22032,2,22,-70.05134322,12.54326667
Caya di Sero (Tierra del Sol),CSR,11051,1,11,-70.04447138,12.60619465
Caya di Solo (Tierra del Sol),CDS,11058,1,11,-70.04257925,12.60263738
Caya Dick Cooper,DIC,83010,8,83,-69.90933387,12.43588842
Caya Dorothea R.Gil,DRG,14045,1,14,-70.02293552,12.55620096
Caya Dr. J.E.M. (Loy) Arends,JEM,22014,2,22,-70.05506145,12.54270757
Caya Dr. J.R. (Coco) Arends,CJA,34015,3,34,-70.02506411,12.52857718
Caya Enrique Vorst,CEV,86111,8,86,-69.8962036,12.43839167
Caya Ernesto Harms (Lagoenweg),LA,31200,3,31,-70.0340989,12.51739898
Caya Ernesto O. Petronia (Boerhaavestraat),CEP,28200,2,28,-70.03424769,12.52656388
Caya Federico Maduro,CFM,56051,5,56,-69.9822155,12.49674266
Caya Franse bloem,CFS,43096,4,43,-70.0000001,12.5463495
Caya Frere Alexius,CFL,25007,2,25,-70.03640357,12.53397846
Caya Frere Andreas,CAE,25004,2,25,-70.03588813,12.5345748
Caya Frere Antoon,CFT,25014,2,25,-70.03798876,12.53604934
Caya Frere Arnold,CFA,25005,2,25,-70.03543348,12.53198138
Caya Frere Bernard,CFR,25017,2,25,-70.03861404,12.53410609
Caya Frere Bernardinus,CFD,25018,2,25,-70.03807476,12.53343817
Caya Frere Bonifacius,CFB,25012,2,25,-70.03770311,12.5340314
Caya Frere Caspar,FRC,23026,2,23,-70.04220167,12.53501583
Caya Frere Eduardo,CFO,25006,2,25,-70.03560244,12.53381445
Caya Frere Edwin,FED,23029,2,23,-70.03951115,12.53515485
Caya Frere Eugeen,CFE,25016,2,25,-70.03851663,12.53473088
Caya Frere Federicus,FFE,23025,2,23,-70.03987449,12.53569523
Caya Frere Gabriel,FGA,23027,2,23,-70.04080746,12.53588901
Caya Frere Gerardus,FGE,23023,2,23,-70.04119977,12.53584991
Caya Frere Henricus,CFH,25013,2,25,-70.03893188,12.53522283
Caya Frere Johannes,CFJ,25009,2,25,-70.03705587,12.5339465
Caya Frere Julius,CFI,25008,2,25,-70.03583765,12.5333532
Caya Frere Laurentius,CFU,25011,2,25,-70.03798874,12.5366848
Caya Frere Norbertius,FNO,23024,2,23,-70.04040917,12.53643692
Caya Frere Paulino,FPA,23032,2,23,-70.04236799,12.53383334
Caya Frere Paulus,FPS,23033,2,23,-70.04243553,12.53320633
Caya Frere Petrus,CFP,25015,2,25,-70.03825797,12.53554675
Caya Frere Ricardo,FRI,23028,2,23,-70.04099212,12.53634228
Caya Frere Servatius,FSE,23021,2,23,-70.04330597,12.53627567
Caya Frere Stanislas,FST,23031,2,23,-70.04237257,12.53445548
Caya Frere Tarcicius,FTC,23035,2,23,-70.04156364,12.53389909
Caya Frere Theodorus,FTH,23034,2,23,-70.04132573,12.53236331
Caya Frere Vincentius,CFV,25019,2,25,-70.03756811,12.53286623
Caya Frere Willlibrordius,FWI,23022,2,23,-70.04178547,12.53569839
Caya G.F. Betico Croes,CGC,31130,3,31,-70.03262245,12.51958791
Caya G.F. Betico Croes,CGC,35310,3,35,-70.02263219,12.52006219
Caya Gilberto Toppenberg,CGT,28080,2,28,-70.03352015,12.52522359
Caya Guadeloupe,GUA,84020,8,84,-69.90552551,12.43385916
Caya H. Thomas Erasmus,CTE,15030,1,15,-70.01546419,12.53869741
Caya Haarlem,CHA,72294,7,72,-69.91860276,12.444071
Caya Hadrey,CHD,14120,1,14,-70.02967693,12.55106081
Caya Harmonia,CH,21026,2,21,-70.0514816,12.55151657
Caya Hubert Caruso Booi,HCB,86112,8,86,-69.8961539,12.43700028
Caya Ing. Roland Lacle (Hospitaalstraat),HOS,33170,3,33,-70.02963844,12.52142524
Caya Jose Geerman,CJG,72010,7,72,-69.91423398,12.44562021
Caya Juancho Kock (Karawarastraat),KAR,35300,3,35,-70.02021284,12.51563637
Caya Lolita E. Euson,EUS,75050,7,75,-69.89978984,12.43776131
Caya Maguey,CM,27030,2,27,-70.0346027,12.53670109
Caya Maishi Rabo,CMR,71014,7,71,-69.92874394,12.44904566
Caya Mangasina,CMG,71081,7,71,-69.92777728,12.45104273
Caya Martinique,CMQ,84150,8,84,-69.90655211,12.43411789
Caya Mesa Bista (Tierra del Sol),MEV,11056,1,11,-70.03674143,12.60295494
Caya Mgr J.M. Holterman,HOL,86102,8,86,-69.89731179,12.43575799
Caya Musica,CMU,21022,2,21,-70.04825938,12.55035099
Caya Nevis,NEV,84140,8,84,-69.90674996,12.43424109
Caya Pan Bati,CPT,71015,7,71,-69.92889338,12.4486049
Caya Papa Juan Pablo II (Rondweg),RO,35180,3,35,-70.01955796,12.51450713
Caya Parapete,CPP,71016,7,71,-69.92943719,12.45041066
Caya Pio Coffie,PIO,86113,8,86,-69.89624731,12.43745227
Caya Punta Brabo,CPB,22013,2,22,-70.05780893,12.54042071
Caya Quant,CQU,72106,7,72,-69.91924272,12.44721532
Caya Ras,CRA,72104,7,72,-69.91835771,12.44742242
