Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Jan Flemming,JF,55020,5,55,-69.97247018,12.49624151
Jan Steenstraat,JST,83130,8,83,-69.90655438,12.43332867
Jan van der Bieststraat,JBS,64050,6,64,-69.92840132,12.44314588
Jan van Nassaustraat,JNS,85110,8,85,-69.90079676,12.4363034
Janana,YA,34040,3,34,-70.01701854,12.5240548
Janszstraat,JA,25120,2,25,-70.03491043,12.52878315
Jara Complex,JAX,62015,6,62,-69.95323116,12.45807146
Jaraweg,JAR,62010,6,62,-69.95348796,12.45530838
Jarmanstraat,JAS,71040,7,71,-69.92133748,12.44757315
Jasmijnstraat,JMJ,73150,7,73,-69.91314277,12.43965428
Jim Blue Jacketstraat,JIM,82110,8,82,-69.90726987,12.43829857
Johan de Wittstraat,JW,26270,2,26,-70.03776238,12.52227355
Jozef Israelstraat,JIS,83230,8,83,-69.905968,12.4324787
Juan Jacobsstraat,JJS,26300,2,26,-70.03655479,12.52165359
Jucuri,JUC,52030,5,52,-69.99048064,12.50081243
Juliana van Stolbergstraat,STO,85150,8,85,-69.90358111,12.43667596
Julianastraat,JU,32040,3,32,-70.03322261,12.51522724
Jupiterstraat,JUP,33280,3,33,-70.02552422,12.51989359
Juwana Morto Complex,JMX,76105,7,76,-69.88588857,12.44144613
Juwana Mortostraat,JMS,76120,7,76,-69.89255274,12.44417056
Juwaweg,JUW,86120,8,86,-69.89406747,12.43751592
Kamay,KA,11090,1,11,-70.03345713,12.57580284
Kamerlingh Onnesstraat,KOS,28030,2,28,-70.03048456,12.52809411
Kanariestraat,KAN,38050,3,38,-70.00650943,12.49611695
Kazernestraat (Oranjestad),KAZ,31140,3,31,-70.03720713,12.5198401
Kazernestraat (San Nicolas),KZN,83070,8,83,-69.9108862,12.43539284
Keito,KE,12070,1,12,-70.04022139,12.56372224
Kenepa,KEN,65010,6,65,-69.93389174,12.46583309
Kenepastraat,KES,35100,3,35,-70.02016336,12.51448897
Kerkstraat,KER,26290,2,26,-70.03608623,12.52207706
Kibaima,KIB,56030,5,56,-69.97778892,12.48422999
Kibrahachastraat,KI,28290,2,28,-70.03041395,12.53285563
Kinikinistraat/Caya Kinikini,KIS,38116,3,38,-70.00782618,12.49353929
Kiviti,KIV,72185,7,72,-69.91522464,12.45073065
Kleine Bergweg,KLW,75020,7,75,-69.89539755,12.44022385
Kleistraat,KL,31060,3,31,-70.0332407,12.52009499
Klipstraat,KLS,31160,3,31,-70.0363941,12.51967698
Kockstraat,KOC,73030,7,72,-69.91049617,12.44530637
Kolibristraat,KOL,38070,3,38,-70.00579999,12.49496455
Koningstraat,KO,26240,2,26,-70.0400375,12.52293042
Koolbaaibergstraat,KOO,86010,8,86,-69.88824801,12.4346156
Korte Steeg,KTN,81160,8,81,-69.90741862,12.43409301
Korteweg,KW,31250,3,31,-70.0350193,12.51958849
Korvetstraat,KOR,24070,2,24,-70.04205352,12.52567452
Koyari,KOY,12050,1,12,-70.0431181,12.56027082
Kruisweg,KRW,31270,3,31,-70.0342917,12.51966355
Kuiperistraat,KUI,32220,3,32,-70.02449575,12.51486
Kukwisastraat,CUQ,27020,2,27,-70.03266734,12.5372889
Kustbatterij,KUB,75091,7,75,-69.89476872,12.44209968
Kwartsstraat,KWA,32150,3,32,-70.02553645,12.51130327
Kwihistraat,CUI,28350,2,28,-70.03036036,12.53067328
L.G Smith Boulevard 1,LSB,22030,2,22,-70.04542411,12.58579506
L.G Smith Boulevard 2,LSB,11020,1,11,-70.04776924,12.5264998
L.G Smith Boulevard 3,LSB,32020,3,32,-70.03078375,12.51207111
Laga Bena,LB,54080,5,54,-69.95712759,12.50839457
Lago Heightsstraat,LGH,86040,8,86,-69.89470319,12.43640266
Lagoweg,LGO,83250,8,83,-69.90457014,12.43430349
Lamunchistraat,LAM,35090,3,35,-70.02040131,12.51436546
Larahastraat,LAR,35170,3,35,-70.0180209,12.51165048
Laurens Costerstraat,LCS,28020,2,28,-70.03048481,12.52441864
Lodewijk van Nassaustraat,LOD,82140,8,82,-69.90557833,12.4371854
Longfellowstraat,LO,32100,3,32,-70.02819824,12.51143057
Lopezstraat,LPZ,72170,7,72,-69.91881029,12.44876467
Louise De Colignystraat,LOU,85140,8,85,-69.9045621,12.43640097
Lucerostraat,LUC,25070,2,25,-70.03893202,12.53118252
Lucianitastraat,LU,25040,2,25,-70.04088475,12.5316994
Luna,CL,36011,3,36,-70.01972933,12.52251577
Luxemburgstraat,LUX,22090,2,22,-70.04692217,12.52975755
Mabon,MB,71070,7,71,-69.92533597,12.45124026
Mabon Kavel,MBK,71080,7,71,-69.93011916,12.4503563
Macapruimstraat,MPS,36020,3,36,-70.01874363,12.51794966
Macuarima,MAC,55010,5,55,-69.97492149,12.50268882
Macubaristraat,MCT,36050,3,36,-70.01794018,12.51855348
Madiki,MAD,24010,2,24,-70.0421182,12.52944553
Madiki Kavel,MAK,23020,2,23,-70.04147998,12.53599479
Magdalenastraat,MGD,73180,7,73,-69.91170831,12.43861281
Mahuma,MAH,37080,3,37,-69.99712218,12.49878961
Malmokweg,MAL,11040,1,11,-70.04796722,12.6008897
Malohistraat,MST,61150,6,61,-69.9721567,12.46722285
Mamoticastraat,MMS,36030,3,36,-70.01653311,12.51943808
Mandarinastraat,MAI,35280,3,35,-70.02079464,12.51739973
Mandolinstraat,MDL,36230,3,36,-70.01349014,12.5147566
Mangelstraat,MAN,28340,2,28,-70.02992355,12.53006445
Mangostraat,MAG,35110,3,35,-70.01988044,12.51421076
Manzaniyastraat,MZA,35120,3,35,-70.01944915,12.51398541
Maracastraat,MRA,36170,3,36,-70.01328557,12.5160195
Marawiel,MRW,43070,4,43,-69.99200906,12.54405629
Margrietstraat,MAS,32080,3,32,-70.03097194,12.5140926
Maria Christinastraat,MCS,32030,3,32,-70.0330043,12.51728382
Maria Maai,MMA,55050,5,55,-69.9570448,12.49559549
Maria van Oranjestraat,MOS,85120,8,85,-69.90308906,12.43629753
Maripampunstraat,MPP,36140,3,36,-70.01617749,12.51642381
Marktstraat,MKS,81230,8,81,-69.911658,12.43559943
Marnixstraat,MXS,74090,7,74,-69.90897836,12.44121639
Matadera,MAT,14100,1,14,-70.02571683,12.55024963
Matividiri,MVD,43030,4,43,-69.97706636,12.54172821
Matogerai,MTG,14110,1,14,-70.02774243,12.55193883
Mauritsstraat,MAU,82150,8,82,-69.90616067,12.43703017
Mauvestraat,MUV,83240,8,83,-69.9055123,12.43281752
Maxwellstraat,MS,61120,6,61,-69.97347662,12.46869768
Mazurka,MAZ,21025,2,21,-70.04964492,12.55025011
Meiveld,MEI,51050,5,51,-70.01115888,12.52223299
Mendelsohnstraat,ME,32360,3,32,-70.03104384,12.51740324
Mexicostraat,MEX,26040,2,26,-70.03927718,12.52585397
Mgr. Ellisstraat,MES,63040,6,63,-69.94058809,12.44787036
Mgr. M.J. Niewindtstraat,MNW,85090,8,85,-69.9004781,12.43383512
Mgr. P.I. Verrietstraat,MVR,85080,8,85,-69.90040243,12.43447455
Middenweg,MI,31070,3,31,-70.03384013,12.52026833
Milonstraat,MIL,35130,3,35,-70.01974089,12.51342508
Miraflorweg,MIR,33080,3,33,-70.03315334,12.52152633
Mispelstraat,MIP,36110,3,36,-70.01773019,12.5152166
Mississippistraat,MSS,85060,8,85,-69.89948957,12.43525438
Missouristraat,MIS,85040,8,85,-69.89933458,12.43569201
Moco,MOK,14060,1,14,-70.00816126,12.55157718
Moco Kavel,MK,14998,1,14,-70.01098516,12.55172512
Modanza,MOD,41020,4,41,-70.01434562,12.5343481
Mohikanenstraat,MOH,72020,7,72,-69.91512586,12.446341
Mon Pos,MP,53060,5,53,-69.96943211,12.52288481
Monserat,MO,11110,1,11,-70.03624392,12.56970121
Mont Caretaweg,MCW,76020,7,76,-69.8870046,12.43671591
Mont O'Reillyweg,MOW,76030,7,76,-69.88553996,12.43714786
Mont Peleestraat,MPE,86020,8,86,-69.88913497,12.43495164
Montaia,MTJ,14030,1,14,-70.02759801,12.55654441
Montana,MTN,37040,3,37,-70.01440958,12.51231885
Monte Verde,MOV,51080,5,51,-70.00345197,12.51151514
Morgenster,MOR,51040,5,51,-70.00539035,12.51697601
Mount Scenerystraat,MSC,86060,8,86,-69.89260868,12.43584731
Mozartstraat,MOZ,32430,3,32,-70.03200071,12.516379
Natural Bridge,NBR,45010,4,45,-69.95876668,12.54106995
Nayostraat,NA,27070,2,27,-70.03192872,12.53645743
Neptunesstraat,NEP,33260,3,34,-70.02657934,12.5197337
Newtonstraat,NE,33130,3,33,-70.03175681,12.52342286
Nicaraguastraat,NI,26200,2,26,-70.03891621,12.52375649
Nieuwe Weg,NIW,73080,7,73,-69.9158609,12.44121452
Nieuwkerkstraat,NKS,25190,2,25,-70.03946041,12.52765505
Nieuwstraat,NIE,31320,3,31,-70.03200053,12.51924393
Nijhoffstraat,NIJ,75010,7,75,-69.89405462,12.43905436
Nobelstraat,NOB,28050,2,28,-70.03258169,12.52536663
Noguerastraat,NGA,72130,7,72,-69.91742219,12.44946124
Noord,NO,12080,1,12,-70.03131537,12.56628946
Noord Cura Cabai,NCC,64080,6,64,-69.9305981,12.44734582
Nuoa,NU,41050,4,41,-70.00778678,12.54018102
Nuyenstraat,NUY,83160,8,83,-69.90787621,12.43365198
Ohmstraat,OS,61100,6,61,-69.97366973,12.46949673
Oldenbarneveldstraat,OLD,26250,2,26,-70.0362695,12.52235792
Olijfistraat,OL,35060,3,35,-70.02185748,12.51352217
Oostenbergweg,OBW,76050,7,76,-69.89097301,12.43741415
Ooststraat,OOS,31300,3,31,-70.0322881,12.51889555
Opal,OPL,11062,1,11,-70.04133028,12.58756895
Oranjestraat,OR,31190,3,31,-70.03556181,12.51896816
Orcuyo (Haystack Residence),ORC,51011,5,51,-69.99128079,12.51532474
Orinocostraat,ORI,85020,8,85,-69.8992232,12.43614033
Otaheitistraat,OTA,82100,8,82,-69.90733428,12.4389163
Oude Schoolstraat,OUD,31280,3,31,-70.03362702,12.51978705
P.C. Hooftstraat,PHS,74100,7,74,-69.9088707,12.44075373
Paardenbaaistraat,PRD,22170,2,22,-70.04110504,12.52252784
Pagaistraat,PAG,24090,2,24,-70.04074344,12.52563183
Palisiaweg,PLW,72190,7,72,-69.91348825,12.44911491
Palm Beach,PB,11100,1,11,-70.03935792,12.570419
Palma Real,PRL,11101,1,11,-70.03952396,12.56461453
Palmitastraat,PAM,28270,2,28,-70.02983189,12.53357593
Palo di Bonchistraat,PAB,28130,2,28,-70.03187548,12.52825861
Palo di Lechistraat,PLE,28360,2,28,-70.03092124,12.5306631
Pampunastraat,PAU,36080,3,36,-70.01808599,12.51680575
Panamastraat,PMA,26080,2,26,-70.03723445,12.52558372
Papaya,PYA,41040,4,41,-70.01002993,12.54327067
Papayastraat,PAY,35140,3,35,-70.01849251,12.51269216
Papilon,PAP,52020,5,52,-69.98513425,12.50476044
Paradera,PRA,42020,4,43,-70.00299857,12.53291242
Paradijs,PAR,23030,2,23,-70.04128251,12.53361913
Paradijsheuvelstraat,HEU,86080,8,86,-69.89386713,12.43463309
Paradijswijk,PAW,25010,2,25,-70.03735581,12.5344491
Paraguana,PA,14090,1,14,-70.02006287,12.54757439
Paraguaystraat,PAS,26140,2,26,-70.03646328,12.52377239
Paramira,PMR,28045,2,28,-70.0270664,12.52916837
Parish Hillweg,PHW,74060,7,74,-69.89662897,12.45314451
Parkietenbos,PBO,38120,3,38,-69.99857071,12.48737284
Pascalstraat,PAC,28170,2,28,-70.03223665,12.52638335
Pasteurstraat,PAE,33240,3,33,-70.02863581,12.5198525
Pastoor Hellingstraat,PHL,63050,6,63,-69.94102848,12.44785765
Pastoor Hendrikstraat,PHD,82010,8,82,-69.91095293,12.43773166
Pastoor Penninxstraat,PPS,63060,6,63,-69.94082663,12.44738075
Patiastraat,PAT,35290,3,35,-70.01971862,12.51544212
Paulus Potterstraat,PPT,83200,8,83,-69.90663692,12.43269947
Pavilla,PAV,44020,4,44,-70.00363668,12.52186613
Pavilla Park,PLP,44030,4,44,-70.00374537,12.52024238
Pedro Gallegostraat,PGS,35020,3,35,-70.02150401,12.51136111
Perustraat,PE,26180,2,26,-70.03796213,12.52394709
Picaron,PIC,54060,5,54,-69.96266819,12.50340999
Piedra Plat,PP,44010,4,44,-69.98948832,12.52411109
Pierre Corneillestraat,PIE,32090,3,32,-70.02883623,12.51172169
Piet Heinstraat,PHE,81210,8,81,-69.91238549,12.43622371
Pieter Boerstraat,PBS,64020,6,64,-69.92882769,12.443658
Pikinini,PKN,53045,5,53,-69.97321707,12.51830033
Pindastraat,PIS,36100,3,36,-70.01679871,12.51475612
Pitastraat,PI,27150,2,27,-70.03703445,12.54076283
Plantersrust,PL,37060,3,37,-70.0047178,12.50921301
Plaza Daniel Leo,PDL,31120,3,31,-70.0375204,12.51985789
Plaza G.F.Betico Croes,PGC,32125,3,32,-70.02691727,12.51030886
Ponton,PO,27010,2,27,-70.03093081,12.53870637
Porrierstraat,PST,64070,6,64,-69.9273774,12.44289168
Pos Abou,POS,21010,2,21,-70.04936328,12.54406969
Pos Chikito,PCH,61010,6,61,-69.96580386,12.46590561
Pos Chikito Complex,PCX,61025,6,61,-69.95802532,12.46803883
Potreroweg,POT,35380,3,35,-70.02298612,12.51760614
Primavera,PR,37050,3,37,-70.00766125,12.5114967
Prinsenstraat,PRS,82190,8,82,-69.90750451,12.43660382
Prof. Lorentzstraat,PLS,26120,2,26,-70.03795107,12.52479986
Purun,PUR,41015,4,41,-70.01629776,12.53581568
Quaststraat,QU,25130,2,25,-70.03478086,12.52931284
Queen Beatrix International Airport,AAA,39010,3,39,-70.00778142,12.50375694
Quillstraat,QUI,86070,8,86,-69.89288593,12.43524
Ranchostraat,RAN,26320,2,26,-70.03791353,12.52156388
Rasmijnstraat,RMJ,72060,7,72,-69.91576627,12.44671459
Raspastraat,RAP,36190,3,36,-70.01455726,12.51761677
Reaumurstraat,RE,28180,2,28,-70.03271667,12.52648425
Red Rockweg,RRW,75140,7,75,-69.89888982,12.44256148
Rembrandtstraat,REB,83140,8,83,-69.90665873,12.43312342
Resedastraat,RES,82020,8,82,-69.91283032,12.43736599
Rifstraat,RIF,31150,3,31,-70.03679833,12.51949614
Rockefellerstraat,ROK,22160,2,22,-70.04210227,12.52302024
Roncado,ROC,42010,4,41,-70.00528706,12.53889326
Ronde Klipweg,RKL,86030,8,86,-69.89129764,12.4366851
Rooi Afo,RA,41060,4,41,-70.0076481,12.52808142
Rooi Bosal,RBO,56040,5,56,-69.97890735,12.49426974
Rooi Congo,RCO,72260,7,72,-69.91601552,12.44418662
Rooi Frances,ROF,56080,5,56,-69.97270235,12.48600836
Rooi Kochi,RK,64090,6,64,-69.93284405,12.45371834
Rooi Lamunchi,RLA,61020,6,61,-69.95721602,12.46042806
Rooi Master,RM,71060,7,71,-69.92129417,12.45258665
Rooi Prikichi,RPR,43040,4,43,-69.98008071,12.54037674
Rooi Santo,RS,11060,1,11,-70.03809798,12.58722179
Rooi Taki,RTA,61040,6,61,-69.96276917,12.47985871
Rooiweg,RWG,74020,7,74,-69.90007033,12.44355132
Rotterdamstraat,ROT,72100,7,72,-69.91837076,12.44796546
Rozenstraat,ROZ,82030,8,82,-69.9122356,12.43748435
Rtntgenstraat,RTG,28160,2,28,-70.03242548,12.52583811
Ruby,RUB,11063,1,11,-70.04106508,12.59125906
Rudolf Arendsstraat,RAS,25110,2,25,-70.03683516,12.52830642
Ruizstraat,RU,22200,2,22,-70.04154973,12.5206308
Rumbastraat,RUM,32140,3,32,-70.02604319,12.5101697
Ruysdaelstraat,RYS,83120,8,83,-69.90735862,12.43380725
Sabana Basora,SBB,61030,6,61,-69.96515029,12.47041634
Sabana Basora Noord,SBN,61035,6,61,-69.96104675,12.47344661
Sabana Basora Zuid,SBZ,61036,6,61,-69.96221465,12.47067671
Sabana Berde,SBR,37030,3,37,-70.01248415,12.50507075
Sabana Blanco,SBL,37020,3,37,-70.01217727,12.50880662
Sabana Grandi,SGR,56050,5,56,-69.98380592,12.49727853
Sabana Liber,SL,13020,1,13,-70.02229131,12.56211025
Sabana Liber Villa Park,SVK,13025,1,13,-70.01950668,12.56303783
Sabania Abou,SAB,53090,5,53,-69.9575842,12.52144707
Safir,SAF,11065,1,11,-70.03696507,12.59525566
Saliwa,SA,14070,1,14,-70.01386199,12.55113048
Saliwa Cerca,SC,11080,1,11,-70.0372124,12.58092537
San Barbola,SBA,34030,3,34,-70.01839422,12.52471709
San Barbola Complex (San Barbola Residence),SBX,34035,3,34,-70.01527347,12.52410259
San Fuego,SF,54070,5,54,-69.95435287,12.50062806
San Miguel,SM,12030,1,12,-70.04648516,12.55670872
Santa Cruz,STC,52010,5,53,-69.98110875,12.51033378
Santa Helenastraat,SHS,25060,2,25,-70.03698523,12.53145219
Santa Lucia,SLU,53070,5,53,-69.96523321,12.52577469
Santa Marta,SMT,52040,5,52,-69.99506755,12.50404624
Santo di Patia,SPT,76110,7,76,-69.88101654,12.44270876
Sasakiweg,SW,11010,1,11,-70.04430474,12.56192926
Sasakiweg,SW,22010,2,22,-70.05317392,12.54598269
Savaneta 1,SAV,62020,6,62,-69.95199527,12.45334991
Savaneta 2,SAV,63010,6,63,-69.94034954,12.44839819
Savaneta Kamp,SMK,63020,6,63,-69.93600144,12.44362686
Schelpstraat,SEL,31100,3,31,-70.03819882,12.52059603
Schoenerstraat,SCS,24060,2,24,-70.04255512,12.52597627
Schoolstraat,SCL,31170,3,31,-70.03604826,12.51889574
Schotlandstraat,SCH,22080,2,22,-70.04809767,12.53099693
Schreuderstraat,SCD,32180,3,32,-70.02551513,12.51350118
Schubertstraat,SCR,32420,3,32,-70.03160523,12.51624522
Schumanstraat,SCU,32070,3,32,-70.0317312,12.51436595
Scobiyostraat,SS,61130,6,61,-69.97146016,12.46830428
Scopapelstraat,SCP,36060,3,36,-70.0159131,12.51865945
Scopetstraat,SCT,28210,2,28,-70.03055948,12.53419056
Semeleerstraat,SE,11160,1,11,-70.03311233,12.57164344
Seminolenstraat,SEM,72230,7,72,-69.91688297,12.4450927
Senebla,SBE,27011,2,27,-70.03536268,12.54250073
Sentry Hillweg,SHW,76060,7,76,-69.88997742,12.437502
Sero Alejandro,SAL,62030,6,62,-69.93986377,12.45371814
Sero Bentanaweg,SBT,76140,7,76,-69.89180083,12.44600898
Sero Biento,SEB,51060,5,51,-69.99900729,12.51268175
Sero Blanco,SB,34010,3,34,-70.02251942,12.52704162
Sero Colorado,SCO,87010,8,87,-69.88285168,12.42071384
Sero Compa,SEC,54020,5,54,-69.97130166,12.51663559
Sero Dakweweg,SDW,76130,7,76,-69.89418534,12.44553842
Sero Dos Posweg,SDP,75130,7,75,-69.89956849,12.44181573
Sero Grandiweg,SGW,76100,7,76,-69.88769413,12.44149609
Sero Janchi,SJ,14040,1,14,-70.02029461,12.55419744
Sero Largoweg,SLW,76090,7,76,-69.88872305,12.44025199
Sero Lopes,SLP,43120,4,43,-69.99342633,12.53281644
Sero Patrishi,SEP,41010,4,41,-70.01691252,12.53092357
Sero Pela,SP,13070,1,13,-70.02686382,12.58556051
Sero Pita,SPI,43010,4,43,-69.98452806,12.53057303
Sero Plat,SPL,43080,4,43,-69.99610542,12.54851468
Sero Preto (Paradera),SPP,41070,4,41,-70.00168844,12.52529153
Sero Preto (San Nicolas),SPN,73020,7,73,-69.90637471,12.45130074
Sero Tijshi,STJ,56070,5,56,-69.99061183,12.49745027
Shaba,SH,14020,1,14,-70.03036943,12.55247677
Shabururi,SJA,53040,5,53,-69.97596705,12.52028613
Shakespearestraat,SHA,32110,3,32,-70.02707512,12.51230858
Shellstraat,SHE,22220,2,22,-70.03925947,12.5200837
Shete,STE,53120,5,53,-69.95350483,12.51115293
Shimarucustraat,SHM,35150,3,35,-70.01903132,12.51253802
Shiribana,SHI,41030,4,41,-70.01173447,12.5383574
Sibeliusstraat,SIB,32350,3,32,-70.02999517,12.51745561
Simon Platsstraat,SPS,64030,6,64,-69.92847251,12.444108
Sinfoniastraat,SIN,36220,3,36,-70.01338028,12.51532228
Siouxstraat,SIO,72050,7,72,-69.91511202,12.44735107
Siribana,SIR,53010,5,53,-69.97682128,12.51747832
Sisalstraat,SIS,27040,2,27,-70.03317412,12.53569983
Sividivi,SIV,33160,3,33,-70.02884551,12.52280232
Socotorolaan,SOC,26160,2,26,-70.03686201,12.52339113
Socotorowijk,SOW,26050,2,26,-70.03990146,12.52549805
Soledad,SO,14080,1,14,-70.01688162,12.54724431
Solito,SOL,28040,2,28,-70.02778014,12.5304989
Solo,SOO,36012,3,33,-70.02095871,12.52096368
Sombre,SOM,54040,5,54,-69.96462965,12.51282126
Sorsacastraat,SOR,36040,3,36,-70.01695899,12.51889776
Soufrierestraat,SOU,86050,8,86,-69.89233636,12.43510193
Spaans Lagoen,LAG,61160,6,61,-69.97446457,12.46832467
Spaans lagoenweg,LAW,61170,6,61,-69.96855376,12.46465062
Spechtstraat,SPE,25180,2,25,-70.03891607,12.52765503
Spinozastraat,SPZ,33060,3,33,-70.03470042,12.52136199
Sportparkstraat,SPO,82120,8,82,-69.90521854,12.43846325
St. Antoniebergweg,SAW,75030,7,75,-69.89601944,12.44000157
St. Catherinestraat,CTH,86100,8,86,-69.89525336,12.43553776
St. Christoffelbergweg,SCB,76010,7,76,-69.88803824,12.43523317
St. Peter Hillweg,SPH,75160,7,75,-69.89740682,12.44374804
St. Theresiaplein,STP,82070,8,82,-69.91022309,12.43633771
St. Vincentweg,SVW,35330,3,35,-70.02121421,12.51994741
Stadhouderstraat,SHO,85130,8,85,-69.90288072,12.43606456
Stadionplein,STA,32190,3,32,-70.02462865,12.51319403
Stadionweg,STD,32130,3,32,-70.02479282,12.5111019
Stamperstraat,STS,72160,7,72,-69.91835213,12.44941325
Standardville,STN,74080,7,74,-69.9082893,12.44426227
Staringstraat,STG,75080,7,75,-69.89876464,12.43903923
Steenweg,STW,31240,3,31,-70.0346376,12.51926629
Stormstraat,ST,31080,3,31,-70.03408911,12.52001193
Strea,STR,36013,3,36,-70.01882393,12.52279608
Stuyvesantstraat,SYV,83050,8,83,-69.9100861,12.43488761
Sweelinckstraat,SWL,32370,3,32,-70.03078757,12.51682953
Tafelbergweg,TBW,76040,7,76,-69.8906278,12.43798587
Tamarijn,TAM,43110,4,43,-69.98995403,12.53674847
Tamarijnstraat,TAS,35160,3,35,-70.01877965,12.51221582
Tamborstraat,TAB,36280,3,36,-70.01493919,12.51584374
Tangerinastraat,TAN,36130,3,36,-70.01665197,12.51654073
Tanki Flip,TF,14010,1,14,-70.03068273,12.54587553
Tanki Leendert,TL,15010,1,15,-70.02169831,12.53843189
Tarabana,TA,36010,3,36,-70.02305463,12.52166378
Tarabanaweg,TAW,35340,3,35,-70.0218592,12.51914714
Tebenki,TEB,12045,1,12,-70.03971074,12.55614619
Theaterstraat,TEA,83080,8,83,-69.91098754,12.43478898
Tibushi,TSH,11066,1,11,-70.03718344,12.59225967
Timbalstraat,TIB,36240,3,36,-70.01453652,12.51456609
Timonstraat,TIM,24040,2,24,-70.04186517,12.52619355
Tobelstraat,TBL,72120,7,72,-69.9173578,12.44873509
Tomatenstraat,TOS,35040,3,35,-70.02054983,12.51289546
Topaz,TPZ,11061,1,11,-70.03557822,12.58882678
Torricellistraat,TO,28150,2,28,-70.03177869,12.52618735
Totolicastraat,TOT,38030,3,38,-70.00614558,12.49658882
Triangelstraat,TR,36210,3,36,-70.01380547,12.51653505
Trinitariastraat,TRI,73160,7,73,-69.91323997,12.43904285
Trompstraat,TRO,82050,8,82,-69.91265477,12.43674421
Trupiaalstraat,TRU,38040,3,38,-70.00672525,12.49641694
Tulpenstraat,TUL,73200,7,73,-69.91058817,12.43978008
Tumba,TUM,21024,2,21,-70.04989297,12.54696081
Tunastraat,TUN,27080,2,27,-70.03264035,12.53532919
Turibana,TU,13050,1,13,-70.02871646,12.57170582
Tuturutustraat,TUT,28250,2,28,-70.02932782,12.53560983
Urataca,URA,54030,5,54,-69.9675006,12.50793528
Uruguaystraat,UR,26130,2,26,-70.03649587,12.52432831
Uta Uta straat,Ut,28260,2,28,-70.02843756,12.5355591
Vader Piet,VAD,77020,7,77,-69.89241132,12.47487904
van de Veen Zeppenfeldstraat,VVZ,83060,8,83,-69.90815785,12.43336328
Van den Bosschestraat,VBS,71020,7,71,-69.92225262,12.44773044
Van der Lindenstraat,VDL,73050,7,73,-69.91062611,12.444459
Van Deventerstraat,VDE,33200,3,33,-70.02827422,12.5209221
Van Dragtstraat,VDS,32170,3,32,-70.02586803,12.51199164
Van Eekhoutstraat,VAE,32160,3,32,-70.02634254,12.51163662
Van Galenstraat,VGA,81220,8,81,-69.91259615,12.43556435
Van Leeuwenhoekstraat,VLE,33140,3,33,-70.03202103,12.52189155
Van Lennepstraat,LEN,75070,7,75,-69.89895545,12.43861229
Van Renselaerstraat,REN,83040,8,83,-69.91025166,12.43528098
Van Slobbestraat,SLO,83090,8,83,-69.90819937,12.43385345
Van Speykstraat,SPY,82060,8,82,-69.91151779,12.43678097
Van Walbeeckstraat,VWS,31290,3,31,-70.03331243,12.51879384
Venezuelastraat,VEN,26020,2,26,-70.03850637,12.52625122
Venusstraat,VE,33270,3,33,-70.02612179,12.52026025
Verano,VRA,51070,5,51,-70.00331832,12.51411208
Verbindingsweg,VER,31330,3,31,-70.02719636,12.51830018
Vermeerstraat,VME,83170,8,83,-69.90738038,12.43348241
Victor Hugostraat,VHS,32230,3,32,-70.02733532,12.51521308
Vigia,VIG,42015,4,42,-70.0012231,12.54065277
Village Noord,VN,84210,8,84,-69.90645227,12.43533811
Village Zuid,VZ,84200,8,84,-69.90605816,12.43386522
Visstraat,VI,26330,3,31,-70.03870592,12.52113642
Vondellaan,VO,32240,3,32,-70.02728173,12.51331957
Vorststraat,VOR,72150,7,72,-69.91715688,12.45014546
Vrolijkstraat,VRO,73090,7,73,-69.91254191,12.44449197
Vuylstekestraat,VUY,85070,8,85,-69.90016141,12.43518409
Wabistraat,WAB,28300,2,28,-70.03050587,12.53221484
Walishali,WAL,27013,2,27,-70.0322628,12.54202375
Warawara,WAR,54050,5,54,-69.96856899,12.50188313
Wariruri,WRI,45020,4,45,-69.98856013,12.55747003
Washington,WA,12040,1,12,-70.03848266,12.55893756
Watapana Gezaag,WG,73100,7,73,-69.91262067,12.4431522
Watapanastraat,WAT,28320,2,28,-70.02983755,12.53146246
Waterweg,WW,31260,3,31,-70.03463755,12.52034791
Wattstraat,WS,61070,6,61,-69.97537584,12.47121474
Wayaca,WAY,37070,3,37,-70.00329551,12.50521246
Weg Fontein,WF,74010,7,74,-69.90097936,12.44716998
Weg Kustbatterij,WKB,75090,7,75,-69.89821901,12.44000324
Weg Rooi Congo,WRC,72270,7,72,-69.91850113,12.44251917
Weg Rooi Hundo,WRH,74070,7,74,-69.90549062,12.44221976
Weg Sero Blanco,WSB,72180,7,72,-69.90949925,12.45560709
Weg Sero Preto,WSP,73010,7,73,-69.9098234,12.44103152
Werfstraat,WER,22210,2,22,-70.04111061,12.52013352
Wernetstraat,WRT,72110,7,72,-69.91828498,12.44869376
Westpunt,WE,11050,1,11,-70.03815936,12.59214906
Weststraat,WET,26010,2,26,-70.0388786,12.52210428
Weverstraat,WEV,72070,7,72,-69.91622809,12.44790665
Wilhelminastraat,WIH,31230,3,31,-70.03171763,12.5182996
Willem de Zwijgerstraat,WZW,82160,8,82,-69.90733887,12.43721076
Willemstraat,WIS,31210,3,31,-70.03379296,12.51776557
Williamsstraat,WI,25160,2,25,-70.03759497,12.5273057
Windstraat,WIN,31030,3,31,-70.03294853,12.52048825
Wiristraat,WIR,36180,3,36,-70.01452183,12.51806559
Wolffstraat,WO,11140,1,11,-70.03392062,12.56902165
